"indicator_id","indicator","unit","indicator_desc","source_org","source_id","source"
"1.2.PSev.2.5usd","Severidad de la Pobreza ($2.50 al día)-Urbano",NA,"El índice de severidad de la pobreza combina información tanto de pobreza como de desigualdad entre los pobres, al promediar los cuadrados de las brechas de pobreza relativas a la línea de pobreza","Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial)",37,NA
"1.2.PSev.Poor4uds","Severidad de la Pobreza ($4 al día)-Urbano",NA,"El índice de severidad de la pobreza combina información tanto de pobreza como de desigualdad entre los pobres, al promediar los cuadrados de las brechas de pobreza relativas a la línea de pobreza","Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial)",37,NA
"1.2_ACCESS.ELECTRICITY.RURAL",NA,NA,NA,NA,35,NA
"1.3_ACCESS.ELECTRICITY.URBAN",NA,NA,NA,NA,35,NA
"100000",NA,NA,NA,NA,71,NA
"1000000",NA,NA,NA,NA,78,NA
"110000",NA,NA,NA,NA,71,NA
"110100",NA,NA,NA,NA,71,NA
"1101000",NA,NA,NA,NA,78,NA
"110110",NA,NA,NA,NA,71,NA
"1101100",NA,NA,NA,NA,78,NA
"110111",NA,NA,NA,NA,71,NA
"1101110",NA,NA,NA,NA,78,NA
"110112",NA,NA,NA,NA,71,NA
"1101120",NA,NA,NA,NA,78,NA
"110113",NA,NA,NA,NA,71,NA
"1101130",NA,NA,NA,NA,78,NA
"110114",NA,NA,NA,NA,71,NA
"1101140",NA,NA,NA,NA,78,NA
"110115",NA,NA,NA,NA,71,NA
"1101150",NA,NA,NA,NA,78,NA
"110116",NA,NA,NA,NA,71,NA
"1101160",NA,NA,NA,NA,78,NA
"110117",NA,NA,NA,NA,71,NA
"1101170",NA,NA,NA,NA,78,NA
"110118",NA,NA,NA,NA,71,NA
"1101180",NA,NA,NA,NA,78,NA
"110119",NA,NA,NA,NA,71,NA
"1101190",NA,NA,NA,NA,78,NA
"110120",NA,NA,NA,NA,71,NA
"1101200",NA,NA,NA,NA,78,NA
"110200",NA,NA,NA,NA,71,NA
"1102000",NA,NA,NA,NA,78,NA
"110210",NA,NA,NA,NA,71,NA
"1102100",NA,NA,NA,NA,78,NA
"110220",NA,NA,NA,NA,71,NA
"1102200",NA,NA,NA,NA,78,NA
"110300",NA,NA,NA,NA,71,NA
"1103000",NA,NA,NA,NA,78,NA
"110400",NA,NA,NA,NA,71,NA
"110500",NA,NA,NA,NA,71,NA
"1105000",NA,NA,NA,NA,78,NA
"110600",NA,NA,NA,NA,71,NA
"110700",NA,NA,NA,NA,71,NA
"1107000",NA,NA,NA,NA,78,NA
"110710",NA,NA,NA,NA,71,NA
"1107100",NA,NA,NA,NA,78,NA
"110730",NA,NA,NA,NA,71,NA
"1107300",NA,NA,NA,NA,78,NA
"110800",NA,NA,NA,NA,71,NA
"1108000",NA,NA,NA,NA,78,NA
"111100",NA,NA,NA,NA,71,NA
"1111000",NA,NA,NA,NA,78,NA
"111300",NA,NA,NA,NA,71,NA
"1113000",NA,NA,NA,NA,78,NA
"130000",NA,NA,NA,NA,71,NA
"1300000",NA,NA,NA,NA,78,NA
"140000",NA,NA,NA,NA,71,NA
"1400000",NA,NA,NA,NA,78,NA
"150000",NA,NA,NA,NA,71,NA
"1500000",NA,NA,NA,NA,78,NA
"150100",NA,NA,NA,NA,71,NA
"1501000",NA,NA,NA,NA,78,NA
"1501100",NA,NA,NA,NA,78,NA
"1501200",NA,NA,NA,NA,78,NA
"1501300",NA,NA,NA,NA,78,NA
"150200",NA,NA,NA,NA,71,NA
"1502000",NA,NA,NA,NA,78,NA
"150300",NA,NA,NA,NA,71,NA
"1503000",NA,NA,NA,NA,78,NA
"1600000",NA,NA,NA,NA,78,NA
"160100",NA,NA,NA,NA,71,NA
"160200",NA,NA,NA,NA,71,NA
"170000",NA,NA,NA,NA,71,NA
"2.0.cov.Cel","Tasa de Cobertura: Teléfono móvil",NA,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.","Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial)",37,NA
"2.0.cov.Ele","Tasa de Cobertura: Electricidad",NA,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.","Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial)",37,NA
"2.0.cov.FPS","Tasa de Cobertura: Finalización de la Educación Primaria",NA,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.","Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial)",37,NA
"2.0.cov.Int","Tasa de Cobertura: Internet",NA,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.","Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial)",37,NA
"2.0.cov.Math.pl_2.all","Tasa de Cobertura: Competencia en Matemáticas Nivel 2",NA,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.","Tabulaciones del LAC Equity Lab usando datos de PISA",37,NA
"2.0.cov.Math.pl_2.prv","Tasa de Cobertura: Competencia en Matemáticas Nivel 2, Escuelas Privadas",NA,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.","Tabulaciones del LAC Equity Lab usando datos de PISA",37,NA
"2.0.cov.Math.pl_2.pub","Tasa de Cobertura: Competencia en Matemáticas Nivel 2, Escuelas Públicas",NA,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.","Tabulaciones del LAC Equity Lab usando datos de PISA",37,NA
"2.0.cov.Math.pl_3.all","Tasa de Cobertura: Competencia en Matemáticas Nivel 3",NA,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.","Tabulaciones del LAC Equity Lab usando datos de PISA",37,NA
"2.0.cov.Math.pl_3.prv","Tasa de Cobertura: Competencia en Matemáticas Nivel 3, Escuelas Privadas",NA,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.","Tabulaciones del LAC Equity Lab usando datos de PISA",37,NA
"2.0.cov.Math.pl_3.pub","Tasa de Cobertura: Competencia en Matemáticas Nivel 3, Escuelas Públicas",NA,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.","Tabulaciones del LAC Equity Lab usando datos de PISA",37,NA
"2.0.cov.Read.pl_2.all","Tasa de Cobertura: Competencia en Lectura Nivel 2",NA,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.","Tabulaciones del LAC Equity Lab usando datos de PISA",37,NA
"2.0.cov.Read.pl_2.prv","Tasa de Cobertura: Competencia en Lectura Nivel 2, Escuelas Privadas",NA,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.","Tabulaciones del LAC Equity Lab usando datos de PISA",37,NA
"2.0.cov.Read.pl_2.pub","Tasa de Cobertura: Competencia en Lectura Nivel 2, Escuelas Públicas",NA,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.","Tabulaciones del LAC Equity Lab usando datos de PISA",37,NA
"2.0.cov.Read.pl_3.all","Tasa de Cobertura: Competencia en Lectura Nivel 3",NA,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.","Tabulaciones del LAC Equity Lab usando datos de PISA",37,NA
"2.0.cov.Read.pl_3.prv","Tasa de Cobertura: Competencia en Lectura Nivel 3, Escuelas Privadas",NA,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.","Tabulaciones del LAC Equity Lab usando datos de PISA",37,NA
"2.0.cov.Read.pl_3.pub","Tasa de Cobertura: Competencia en Lectura Nivel 3, Escuelas Públicas",NA,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.","Tabulaciones del LAC Equity Lab usando datos de PISA",37,NA
"2.0.cov.San","Tasa de Cobertura: Saneamiento",NA,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.","Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial)",37,NA
"2.0.cov.Sch","Tasa de Cobertura: Matrícula Escolar",NA,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.","Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial)",37,NA
"2.0.cov.Scie.pl_2.all","Tasa de Cobertura: Competencia en Ciencias Nivel 2",NA,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.","Tabulaciones del LAC Equity Lab usando datos de PISA",37,NA
"2.0.cov.Scie.pl_2.prv","Tasa de Cobertura: Competencia en Ciencias Nivel 2, Escuelas Privadas",NA,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.","Tabulaciones del LAC Equity Lab usando datos de PISA",37,NA
"2.0.cov.Scie.pl_2.pub","Tasa de Cobertura: Competencia en Ciencias Nivel 2, Escuelas Públicas",NA,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.","Tabulaciones del LAC Equity Lab usando datos de PISA",37,NA
"2.0.cov.Scie.pl_3.all","Tasa de Cobertura: Competencia en Ciencias Nivel 3",NA,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.","Tabulaciones del LAC Equity Lab usando datos de PISA",37,NA
"2.0.cov.Scie.pl_3.prv","Tasa de Cobertura: Competencia en Ciencias Nivel 3, Escuelas Privadas",NA,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.","Tabulaciones del LAC Equity Lab usando datos de PISA",37,NA
"2.0.cov.Scie.pl_3.pub","Tasa de Cobertura: Competencia en Ciencias Nivel 3, Escuelas Públicas",NA,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.","Tabulaciones del LAC Equity Lab usando datos de PISA",37,NA
"2.0.cov.Wat","Tasa de Cobertura: Agua",NA,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.","Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial)",37,NA
"2.0.hoi.Cel","IOH: Teléfono móvil",NA,"El Índice de Oportunidades Humanas (IOH) es un indicador económico que captura el grado de desigualdad en el acceso a un servicio esencial, entre diferentes grupos de circunstancias.  El índice toma en cuenta la tasa de acceso promedio (tasa de cobertura) de una oportunidad dada (un servicio) y la desigualdad de su distribución.  Las circunstancias incluidas en el IOH son el género del niño o niña, la educación de los padres, el ingreso per cápita familiar, el género del jefe del hogar, y el área de residencia urbana o rural.  Un incremento en el índice puede deberse tanto a incrementos en la cobertura como a una mejor distribución de dicho servicio.","Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial)",37,NA
"2.0.hoi.Ele","IOH: Electricidad",NA,"El Índice de Oportunidades Humanas (IOH) es un indicador económico que captura el grado de desigualdad en el acceso a un servicio esencial, entre diferentes grupos de circunstancias.  El índice toma en cuenta la tasa de acceso promedio (tasa de cobertura) de una oportunidad dada (un servicio) y la desigualdad de su distribución.  Las circunstancias incluidas en el IOH son el género del niño o niña, la educación de los padres, el ingreso per cápita familiar, el género del jefe del hogar, y el área de residencia urbana o rural.  Un incremento en el índice puede deberse tanto a incrementos en la cobertura como a una mejor distribución de dicho servicio.","Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial)",37,NA
"2.0.hoi.FPS","IOH: Finalización de la Educación Primaria",NA,"El Índice de Oportunidades Humanas (IOH) es un indicador económico que captura el grado de desigualdad en el acceso a un servicio esencial, entre diferentes grupos de circunstancias.  El índice toma en cuenta la tasa de acceso promedio (tasa de cobertura) de una oportunidad dada (un servicio) y la desigualdad de su distribución.  Las circunstancias incluidas en el IOH son el género del niño o niña, la educación de los padres, el ingreso per cápita familiar, el género del jefe del hogar, y el área de residencia urbana o rural.  Un incremento en el índice puede deberse tanto a incrementos en la cobertura como a una mejor distribución de dicho servicio.","Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial)",37,NA
